TstPic, TstSub, Result
_zip
04.pgm,s01,s25
05.pgm,s01,s36
06.pgm,s01,s01
07.pgm,s01,s01
08.pgm,s01,s25
09.pgm,s01,s40
10.pgm,s01,s26
04.pgm,s02,s02
05.pgm,s02,s02
06.pgm,s02,s02
07.pgm,s02,s20
08.pgm,s02,s02
09.pgm,s02,s02
10.pgm,s02,s02
04.pgm,s03,s25
05.pgm,s03,s25
06.pgm,s03,s03
07.pgm,s03,s23
08.pgm,s03,s12
09.pgm,s03,s03
10.pgm,s03,s03
04.pgm,s04,s23
05.pgm,s04,s28
06.pgm,s04,s23
07.pgm,s04,s23
08.pgm,s04,s20
09.pgm,s04,s35
10.pgm,s04,s35
04.pgm,s05,s25
05.pgm,s05,s18
06.pgm,s05,s18
07.pgm,s05,s05
08.pgm,s05,s18
09.pgm,s05,s18
10.pgm,s05,s18
04.pgm,s06,s06
05.pgm,s06,s06
06.pgm,s06,s06
07.pgm,s06,s06
08.pgm,s06,s06
09.pgm,s06,s06
10.pgm,s06,s06
04.pgm,s07,s07
05.pgm,s07,s36
06.pgm,s07,s17
07.pgm,s07,s07
08.pgm,s07,s37
09.pgm,s07,s17
10.pgm,s07,s36
04.pgm,s08,s08
05.pgm,s08,s08
06.pgm,s08,s08
07.pgm,s08,s08
08.pgm,s08,s08
09.pgm,s08,s08
10.pgm,s08,s17
04.pgm,s09,s38
05.pgm,s09,s26
06.pgm,s09,s38
07.pgm,s09,s12
08.pgm,s09,s26
09.pgm,s09,s12
10.pgm,s09,s40
04.pgm,s10,s10
05.pgm,s10,s38
06.pgm,s10,s38
07.pgm,s10,s27
08.pgm,s10,s10
09.pgm,s10,s28
10.pgm,s10,s10
04.pgm,s11,s14
05.pgm,s11,s11
06.pgm,s11,s14
07.pgm,s11,s08
08.pgm,s11,s14
09.pgm,s11,s14
10.pgm,s11,s11
04.pgm,s12,s03
05.pgm,s12,s38
06.pgm,s12,s04
07.pgm,s12,s40
08.pgm,s12,s25
09.pgm,s12,s14
10.pgm,s12,s04
04.pgm,s13,s26
05.pgm,s13,s26
06.pgm,s13,s25
07.pgm,s13,s26
08.pgm,s13,s40
09.pgm,s13,s26
10.pgm,s13,s32
04.pgm,s14,s14
05.pgm,s14,s11
06.pgm,s14,s11
