k,alpha,entropy
1,0,3.28373
1,0.1,3.28501
1,0.2,3.28612
1,0.3,3.28717
1,0.4,3.28818
1,0.5,3.28916
1,0.6,3.29011
1,0.7,3.29104
1,0.8,3.29196
1,0.9,3.29286
1,1,3.29374
2,0,2.52777
2,0.1,2.54439
2,0.2,2.55692
2,0.3,2.56806
2,0.4,2.57833
2,0.5,2.58795
2,0.6,2.59708
2,0.7,2.60579
2,0.8,2.61417
2,0.9,2.62224
2,1,2.63006
3,0,1.95265
3,0.1,2.05434
3,0.2,2.11955
3,0.3,2.17327
3,0.4,2.22019
3,0.5,2.26236
3,0.6,2.30095
3,0.7,2.3367
3,0.8,2.37011
3,0.9,2.40154
3,1,2.43128
4,0,1.6187
4,0.1,1.9516
4,0.2,2.12412
4,0.3,2.25433
4,0.4,2.36133
4,0.5,2.45305
4,0.6,2.53376
4,0.7,2.60605
4,0.8,2.67166
4,0.9,2.7318
4,1,2.78738
5,0,1.40655
5,0.1,2.14962
5,0.2,2.44882
5,0.3,2.65476
5,0.4,2.81401
5,0.5,2.94447
5,0.6,3.05516
5,0.7,3.15134
5,0.8,3.2364
5,0.9,3.31262
5,1,3.38165
6,0,1.2291
6,0.1,2.51713
6,0.2,2.91905
6,0.3,3.17443
6,0.4,3.36227
6,0.5,3.51068
6,0.6,3.63308
6,0.7,3.73701
6,0.8,3.82713
6,0.9,3.90654
6,1,3.97739
