k,alpha,entropy
1,0,3.40853
1,0.1,3.41141
1,0.2,3.41382
1,0.3,3.41605
1,0.4,3.41817
1,0.5,3.42021
1,0.6,3.42218
1,0.7,3.42409
1,0.8,3.42596
1,0.9,3.42778
1,1,3.42957
2,0,2.77992
2,0.1,2.81307
2,0.2,2.83498
2,0.3,2.8537
2,0.4,2.87055
2,0.5,2.8861
2,0.6,2.90068
2,0.7,2.91447
2,0.8,2.92762
2,0.9,2.94021
2,1,2.95232
3,0,2.24422
3,0.1,2.42645
3,0.2,2.52963
3,0.3,2.61205
3,0.4,2.68264
3,0.5,2.74521
3,0.6,2.80182
3,0.7,2.85377
3,0.8,2.90194
3,0.9,2.94694
3,1,2.98925
4,0,1.84567
4,0.1,2.43086
4,0.2,2.69392
4,0.3,2.88518
4,0.4,3.03864
4,0.5,3.16791
4,0.6,3.28008
4,0.7,3.3794
4,0.8,3.46864
4,0.9,3.54973
4,1,3.62408
5,0,1.56122
5,0.1,2.82678
5,0.2,3.25764
5,0.3,3.54261
5,0.4,3.75728
5,0.5,3.9296
5,0.6,4.07338
5,0.7,4.19652
5,0.8,4.30402
5,0.9,4.39922
5,1,4.48451
6,0,1.30454
6,0.1,3.45077
6,0.2,3.98722
6,0.3,4.31013
6,0.4,4.53902
6,0.5,4.71462
6,0.6,4.85593
6,0.7,4.97338
6,0.8,5.07328
6,0.9,5.15979
6,1,5.23577
