k,alpha,entropy
1,0,3.37998
1,0.1,3.39133
1,0.2,3.40057
1,0.3,3.40895
1,0.4,3.41676
1,0.5,3.42413
1,0.6,3.43116
1,0.7,3.43789
1,0.8,3.44437
1,0.9,3.45063
1,1,3.45669
2,0,2.55567
2,0.1,2.67287
2,0.2,2.74838
2,0.3,2.81072
2,0.4,2.86519
2,0.5,2.91415
2,0.6,2.95895
2,0.7,3.00041
2,0.8,3.03913
2,0.9,3.07553
2,1,3.10993
3,0,1.90695
3,0.1,2.42829
3,0.2,2.68764
3,0.3,2.87796
3,0.4,3.03066
3,0.5,3.15883
3,0.6,3.26948
3,0.7,3.36689
3,0.8,3.45387
3,0.9,3.5324
3,1,3.60396
4,0,1.49801
4,0.1,2.7367
4,0.2,3.1897
4,0.3,3.48283
4,0.4,3.69853
4,0.5,3.8679
4,0.6,4.00638
4,0.7,4.12281
4,0.8,4.22271
4,0.9,4.3098
4,1,4.38668
5,0,1.18108
5,0.1,3.29802
5,0.2,3.84419
5,0.3,4.15935
5,0.4,4.37521
5,0.5,4.53615
5,0.6,4.66253
5,0.7,4.76533
5,0.8,4.85114
5,0.9,4.92418
5,1,4.98734
6,0,0.917784
6,0.1,3.85381
6,0.2,4.4054
6,0.3,4.69577
6,0.4,4.88389
6,0.5,5.01868
6,0.6,5.12131
6,0.7,5.20272
6,0.8,5.26925
6,0.9,5.32486
6,1,5.37217
