TstPic, TstSub, Result
_zip
04.pgm,s01,s26
05.pgm,s01,s12
06.pgm,s01,s33
07.pgm,s01,s04
08.pgm,s01,s18
09.pgm,s01,s20
10.pgm,s01,s10
04.pgm,s02,s05
05.pgm,s02,s07
06.pgm,s02,s15
07.pgm,s02,s11
08.pgm,s02,s09
09.pgm,s02,s07
10.pgm,s02,s28
04.pgm,s03,s18
05.pgm,s03,s12
06.pgm,s03,s10
07.pgm,s03,s07
08.pgm,s03,s19
09.pgm,s03,s24
10.pgm,s03,s22
04.pgm,s04,s20
05.pgm,s04,s38
06.pgm,s04,s07
07.pgm,s04,s22
08.pgm,s04,s18
09.pgm,s04,s22
10.pgm,s04,s13
04.pgm,s05,s19
05.pgm,s05,s05
06.pgm,s05,s02
07.pgm,s05,s01
08.pgm,s05,s06
09.pgm,s05,s25
10.pgm,s05,s33
04.pgm,s06,s23
05.pgm,s06,s29
06.pgm,s06,s29
07.pgm,s06,s38
08.pgm,s06,s38
09.pgm,s06,s29
10.pgm,s06,s01
04.pgm,s07,s02
05.pgm,s07,s38
06.pgm,s07,s02
07.pgm,s07,s40
08.pgm,s07,s12
09.pgm,s07,s18
10.pgm,s07,s38
04.pgm,s08,s14
05.pgm,s08,s03
06.pgm,s08,s24
07.pgm,s08,s14
08.pgm,s08,s05
09.pgm,s08,s36
10.pgm,s08,s03
04.pgm,s09,s28
05.pgm,s09,s17
06.pgm,s09,s17
07.pgm,s09,s03
08.pgm,s09,s02
09.pgm,s09,s10
10.pgm,s09,s03
04.pgm,s10,s08
05.pgm,s10,s30
06.pgm,s10,s22
07.pgm,s10,s28
08.pgm,s10,s16
09.pgm,s10,s07
10.pgm,s10,s26
04.pgm,s11,s11
05.pgm,s11,s38
06.pgm,s11,s23
07.pgm,s11,s34
08.pgm,s11,s27
09.pgm,s11,s20
10.pgm,s11,s08
04.pgm,s12,s14
05.pgm,s12,s37
06.pgm,s12,s15
07.pgm,s12,s32
08.pgm,s12,s04
09.pgm,s12,s05
10.pgm,s12,s40
04.pgm,s13,s03
05.pgm,s13,s11
06.pgm,s13,s11
07.pgm,s13,s01
08.pgm,s13,s10
09.pgm,s13,s13
10.pgm,s13,s02
04.pgm,s14,s34
05.pgm,s14,s16
06.pgm,s14,s32
07.pgm,s14,s23
08.pgm,s14,s22
09.pgm,s14,s34
10.pgm,s14,s05
04.pgm,s15,s01
